version,order,chapter,text,duration_hint,visual_id,fact_ids,emphasis
v1,1,hook,"如果只看一个回合，你可能会把JR记成一次失误。",3.3,hook-memory,C006,high
v1,2,hook,"二零一八年总决赛首战最后几秒，他抢下进攻篮板，却把球带向了中场。",4.2,hook-memory,C006,high
v1,3,hook,"镜头一次次回放，那一刻几乎盖住了此前的生涯。",3.3,hook-memory,,medium
v1,4,hook,"但一名球员，不该只由最后一个画面定义。",3.1,hook-memory,,high
v1,5,hook,"在那个失误之前，他已经在NBA走了很多年。",2.9,hook-memory,C001,medium
v1,6,hook,"在那个失误之后，他也没有停在原地。",2.8,hook-memory,C008;C009,medium
v1,7,identity,"他是JR·史密斯。",1.8,identity-card,,high
v1,8,identity,"他的本名，是厄尔·约瑟夫·史密斯三世。",3.1,identity-card,,medium
v1,9,identity,"他在NBA，一共打了十六个赛季。",2.5,identity-card,C001,high
v1,10,identity,"他曾两次随队夺得NBA总冠军。",2.2,identity-card,C001,high
v1,11,identity,"也曾拿下联盟最佳第六人。",2.4,identity-card,C003,medium
v1,12,origin,"二零零四年，他从高中直接进入NBA。",2.8,origin-rise,C002,medium
v1,13,origin,"他在首轮第十八顺位被选中。",2.5,origin-rise,C002,high
v1,14,origin,"职业篮球的大门，就这样提前打开。",2.0,origin-rise,,medium
v1,15,origin,"从那一刻起，他要面对的已经不是同龄人。",3.0,origin-rise,,medium
v1,16,origin,"而是一段漫长、公开、不断被评价的职业生涯。",3.0,origin-rise,C001,medium
v1,17,origin,"他后来得到的赞美和质疑，都从这里开始累积。",3.1,origin-rise,,medium
v1,18,volatility,"JR最鲜明的标签，从来不是四平八稳。",2.6,volatility-fire,,high
v1,19,volatility,"他的比赛选择，常常让关注迅速落到他身上。",2.9,volatility-fire,,medium
v1,20,volatility,"顺利的时候，他能成为改变节奏的得分点。",2.8,volatility-fire,C003,medium
v1,21,volatility,"判断出错的时候，质疑也会立刻追上来。",2.9,volatility-fire,C006,medium
v1,22,volatility,"这种反差，也影响了公众对他的记忆。",3.0,volatility-fire,,medium
v1,23,volatility,"能力与风险，在他的故事里始终同时出现。",3.0,volatility-fire,C003;C006,high
v1,24,award,"二零一二到一三赛季，这种能力得到正式肯定。",3.2,sixth-man,C003,medium
v1,25,award,"那个赛季，他打了八十场比赛。",2.8,sixth-man,C003,high
v1,26,award,"八十场，全部以替补身份出场。",2.6,sixth-man,C003,high
v1,27,award,"他的场均得分，是十八点一分。",2.8,sixth-man,C003,high
v1,28,award,"NBA把最佳第六人奖，交给了JR·史密斯。",3.0,sixth-man,C003,high
v1,29,award,"这座奖杯，记录了他真正兑现进攻价值的赛季。",3.3,sixth-man,C003,medium
v1,30,finals,"更重要的转折，出现在二零一六年总决赛。",2.8,game-seven,C004;C005,high
v1,31,finals,"抢七大战，骑士在半场结束时落后七分。",3.0,game-seven,C004;C005,high
v1,32,finals,"第三节开始，比赛仍然没有站到他们这一边。",2.7,game-seven,C004,medium
v1,33,finals,"就在这时，JR为骑士连得八分。",2.8,game-seven,C004,high
v1,34,finals,"泰伦·卢后来把这八分视为夺冠的关键。",3.2,game-seven,C004,high
v1,35,finals,"它没有独自决定比赛，却帮助球队重新站稳。",3.2,game-seven,C004,medium
v1,36,finals,"总冠军当然不属于任何一个人的单独表演。",2.9,game-seven,,medium
v1,37,finals,"但角色球员的贡献，也常常藏在最终比分背后。",3.0,game-seven,C004,medium
v1,38,finals,"那一年，骑士完成了一比三落后的逆转。",2.8,game-seven,C005,high
v1,39,finals,"JR也拿到了职业生涯第一枚冠军戒指。",2.4,game-seven,C001;C005,high
v1,40,gaffe,"两年后，总决赛把另一种画面留给了他。",2.8,gaffe-shadow,C006,medium
v1,41,gaffe,"当时比分打平，骑士也因此错过了常规时间的最后一攻。",3.8,gaffe-shadow,C006,high
v1,42,gaffe,"NBA的报道，也记录了他赛后的解释。",3.0,gaffe-shadow,C006,medium
v1,43,gaffe,"但公众记忆往往比完整比赛更短。",3.0,gaffe-shadow,,medium
v1,44,gaffe,"一个错误，迅速变成人们谈起他时最常出现的标签之一。",3.8,gaffe-shadow,C006,high
v1,45,gaffe,"可它不能抹掉二零一三年的最佳第六人。",2.8,gaffe-shadow,C003,medium
v1,46,gaffe,"也不能抹掉抢七第三节开场的那八分。",2.8,gaffe-shadow,C004,high
v1,47,gaffe,"二零二零年，他随湖人再次夺冠，拿到生涯第二枚冠军戒指。",3.8,gaffe-shadow,C007,high
v1,48,restart,"离开NBA以后，他选择了另一种重新开始。",2.8,college-restart,C008,medium
v1,49,restart,"二零二一年，他进入北卡罗来纳农工州立大学。",3.0,college-restart,C008,high
v1,50,restart,"这一次，他加入的是学校男子高尔夫队。",2.7,college-restart,C008,medium
v1,51,restart,"一个打完十六个NBA赛季的人，又回到校园。",3.2,college-restart,C001;C008,high
v1,52,restart,"他的身份，也从职业球员变成学生运动员。",3.0,college-restart,C008,medium
v1,53,restart,"二零二二年，他获评学校学术年度运动员之一。",3.1,college-restart,C009,high
v1,54,restart,"篮球之外，他又得到了一份不同的成绩单。",3.2,college-restart,C009,medium
v1,55,legacy,"十六个赛季，两枚冠军戒指，一座最佳第六人奖杯。",3.0,legacy-road,C001;C003,high
v1,56,legacy,"这些事实，比一个被反复播放的失误更完整。",2.9,legacy-road,C001;C003;C004;C006,medium
v1,57,legacy,"JR的故事没有要求人们忘记那个错误。",3.0,legacy-road,C006,medium
v1,58,legacy,"它只是提醒我们，别让一个回合代替整段人生。",3.0,legacy-road,,high
