claim_id,claim_text,source_url,source_tier,status
D001,"德拉维多瓦出生于澳大利亚维多利亚州马里伯勒，代表澳大利亚国家队",https://www.olympics.com.au/olympians/matthew-dellavedova/,primary,verified
D002,"德拉维多瓦在Saint Mary's的四个赛季为2009-10至2012-13",https://smcgaels.com/news/2009/10/8/Matthew_Dellavedova,primary,verified
D003,"他在Saint Mary's生涯得到1933分并送出778次助攻",https://smcgaels.com/news/2009/10/8/Matthew_Dellavedova,primary,verified
D004,"离校时他是Saint Mary's校史得分、助攻、三分、罚球和出场次数领先者",https://smcgaels.com/news/2013/7/9/MBK_Dellavedova_To_Play_With_Cleveland_In_NBA_Summer_League,primary,verified
D005,"德拉维多瓦在2013年NBA选秀中落选，随后参加骑士夏季联赛并于同年签约骑士",https://www.nba.com/bucks/release/bucks-acquire-dellavedova,primary,verified
D006,"2015年总决赛第二场骑士加时95比93取胜，德拉维多瓦得到9分5篮板3抢断，并在最后10.1秒两罚全中反超1分",https://www.nba.com/cavaliers/news/features/recap-warriors2-150607,primary,verified
D007,"2015年总决赛第二场库里23投5中、三分15投2中得到19分",https://www.nba.com/cavaliers/news/features/recap-warriors2-150607,primary,verified
D008,"德拉维多瓦赛后表示他不认为任何人能够真正阻止库里",https://www.nba.com/cavaliers/news/quotes-warriors-150607,primary,verified
D009,"2015年总决赛第三场骑士96比91取胜并取得2比1领先，德拉维多瓦出场39分钟得到20分5篮板4助攻",https://www.nba.com/cavaliers/news/quotes-warriors-150609,primary,verified
D010,"第三场后德拉维多瓦出现严重抽筋，接受包括静脉输液在内的治疗，并继续在Cleveland Clinic接受治疗",https://www.nba.com/cavaliers/releases/status-dellavedova-150610,primary,verified
D011,"德拉维多瓦是骑士2016年NBA总冠军阵容成员",https://www.nba.com/cavaliers/releases/bucks-trade-160707,primary,verified
D012,"2018年12月骑士通过三方交易将德拉维多瓦带回",https://www.nba.com/cavaliers/releases/dellavedova-henson-trade-181207,primary,verified
D013,"德拉维多瓦参加过2012、2016、2020和2024四届奥运会",https://www.olympics.com.au/olympians/matthew-dellavedova/,primary,verified
D014,"东京2020铜牌赛澳大利亚107比93击败斯洛文尼亚，赢得队史首枚男子篮球奥运奖牌",https://www.fiba.basketball/en/news/olympics-men-2020-news-mills-takes-over-sends-australia-to-first-podium-finish,primary,verified
D015,"2025年4月德拉维多瓦与悉尼国王签下三年合同",https://www.nbl.com.au/news/official-king-delly-takes-the-throne,primary,verified
D016,"截至2026年7月17日德拉维多瓦仍是悉尼国王已签约球员",https://www.nbl.com.au/news/nbl27-roster-tracker-every-signing-extension-and-departure,primary,verified
D017,"2016年骑士在总决赛1比3落后后以4比3夺冠，成为NBA总决赛史上首支完成该逆转的球队",https://www.nba.com/news/history-top-moments-cavaliers-erase-3-1-deficit-2016-finals,primary,verified
D018,"2016年7月雄鹿通过与骑士的先签后换得到德拉维多瓦",https://www.nba.com/bucks/release/bucks-acquire-dellavedova,primary,verified
D019,"德拉维多瓦随悉尼国王赢得2025-26赛季NBL总冠军",https://www.nbl.com.au/news/nbl26-champions-sydney-kings-kendric-davis,primary,verified
